resy_id,name,neighborhood,city
60381,Le Dive,Lower East Side,ny
48156,BABY BRASA,West Village,ny
64803,Bocca,Flatiron/ Gramercy Park,ny
58431,Reserve Cut,New York,ny
33092,OTB,Williamsburg,ny
65670,Monterey,Midtown East,ny
54578,Avra Madison,Midtown,ny
36902,Rolo's,Ridgewood,ny
4914,The Butcher's Daughter - Nolita,Nolita,ny
56588,Mojo Omakase,New York,ny
52909,Empire Diner NYC,West Chelsea,ny
3771,Uncle Peter's,Jackson Heights,ny
60357,Barbounia,Gramercy,ny
66463,American Bistro,New York,ny
8302,Le Crocodile,Williamsburg,ny
50369,FancyFree,Fort Greene,ny
51757,Porcelain,Ridgewood,ny
31537,Torch & Crown Brewery & Restaurant,SoHo,ny
4908,Urban Vegan Kitchen,West Village,ny
61242,Smyth Tavern,Tribeca,ny
58525,Bogota Latin Bistro,Brooklyn,ny
1946,Frenchette,Tribeca,ny
36583,Hatsuhana Sushi Restaurant,Midtown East,ny
54299,MáLà Project Midtown East,New York,ny
69452,Caviar Russe - NYC,Midtown,ny
49456,Hummus Kitchen - UES,Upper East Side,ny
59068,Corner Bar,Lower East Side,ny
4450,Llama San,Lower Manhattan,ny
58565,Arte Cafe,New York,ny
58530,The Ten Bells- BK,Bushwick,ny
59421,Citrico Cafe,Astoria,ny
67403,TAPPO NYCThinCrust Pizza,Flatiron / Chelsea,ny
59048,Sushi Blossoms,New York,ny
58864,The Landing at Penn1,Midtown,ny
4538,queensyard: Restaurant,Hudson Yards,ny
60650,Chino Grande,Williamsburg,ny
611,LaRina Pastificio & Vino,Fort Greene,ny
60576,Casa Azul,Park Slope,ny
10120,Roxy Bar,Tribeca,ny
7505,Foxy Johns Bar & Kitchen,Midtown East,ny
66864,Valla Table,Hell's Kitchen,ny
51762,Omakase by korami,Hell’s Kitchen,ny
60366,French Roast,Upper West Side,ny
50923,Rivercrest,Astoria,ny
618,Ladybird,East Village,ny
64961,Periyali,Flatiron,ny
67606,Olle,New York,ny
55738,Felice Montague,Brooklyn Heights,ny
65433,Zaab Zaab,Williamsburg,ny
29276,Baci Staten Island,Dougan Hills,ewr
54657,Maggie's Place,Midtown,ny
6003,Roberta's,Bushwick,ny
26,Morandi,West Village,ny
7260,Il Fiorista,NoMad,ny
58242,Suite 704,Crown Heights,ny
52920,The Skylark,Midtown South,ny
66735,Kitchen 46 by DTM,New York,ny
54046,Rose Lane,Midtown East,ny
39817,Bar Crudo BK,Park Slope,ny
68095,Shaking Crab - Williamsburg,Brooklyn,ny
54750,Moko,East Village,ny
8043,Pasta Eater,Flatiron,ny
10582,Cask Bar + Kitchen,Murray Hill,ny
52150,Samurai Mama,Brooklyn,ny
60884,Il Gradino,Upper East Side,ny
43224,Tacombi - Upper East Side,Upper East Side,ny
57493,Egg Shop Nolita,New York,ny
60516,Casa D' Angelo,Little Italy,ny
3708,Au Za’atar East Village - 12th Street,East Village,ny
54714,Saint Julivert Fisherie,Cobble Hill,ny
59701,Obao - Hell's Kitchen,Hell's Kitchen,ny
5664,La Compagnie des Vins Surnaturels,Little Italy,ny
41970,Coarse NYC,West Village,ny
60358,L'Express,Gramercy Park/ Flatiron,ny
68049,Victory Restaurant & Lounge,New York,ny
1190,Loreley Beer Garden,Lower East Side,ny
51628,Maison Premiere,Williamsburg,ny
650,Frankies 457 Spuntino,Carroll Gardens,ny
53181,The Ellington,Upper West Side,ny
10242,Madam Ji Modern Indian Restaurant,Greenwich Village,ny
59703,Seamore's Brookfield,Battery Park,ny
39604,JungleBird,Chelsea,ny
59237,Café China,New York Midtown,ny
4970,Estiatorio Milos Hudson Yards,Hudson Yards,ny
41951,SUSHI ANN,Midtown East,ny
54972,Dutch Fred's,New York,ny
5811,The Bar Room,Upper East Side,ny
7342,Beebe's,Long Island City,ny
64838,Dar Yemma,Astoria,ny
891,Terra,TriBeCa,ny
5225,Take31,Nomad,ny
65332,T Bar NYC,New York,ny
58367,Sushi W,New York,ny
46385,Tru Astoria,Astoria Ditmars District,ny
7241,Raoul's,Soho,ny
53071,Trapizzino,New York,ny
4241,Buvette NYC,West Village,ny
54777,B'artusi,New York,ny
67646,The Press Club Grill,Midtown,ny
34822,Leo,Williamsburg,ny
6737,The Bonnie,Astoria,ny
44082,Chama Mama Chelsea,Chelsea,ny
38015,Turntable LP Bar & Karaoke,Midtown West,ny
1931,Little Alley,Murray Hill,ny
68557,Brooklyn Diner USA - 57th,New York,ny
10665,Le Bilboquet NY,Upper East Side,ny
857,Maison Pickle,Upper West Side,ny
59646,Pizzeria Panina,Queens,ny
6769,Electric Lemon,Hudson Yards,ny
50806,Michael's Restaurant,Midtown West,ny
36899,Blossom on Columbus,Upper West Side,ny
58690,NoMo Kitchen,New York,ny
54357,Greca,New York,ny
37862,The Grand Delancey,Lower East Side,ny
59005,Nai,East Village,ny
4956,12 Chairs Cafe Brooklyn,Williamsburg,ny
59933,Tonchin Brooklyn,Williamsburg,ny
2774,Gertie,Williamsburg,ny
8744,City Winery at Rockefeller Center,Midtown,ny
54225,Sant Ambroeus - Soho,Soho,ny
60029,Le Gratin,Lower Manhattan,ny
889,Aria Hell's Kitchen,Hells Kitchen,ny
65286,Earthen,Park Slope,ny
8776,Anassa Taverna Astoria,Astoria,ny
10412,Supper,East Village,ny
54637,Stafili Wine Cafe,West Village,ny
1388,Aldo Sohm Wine Bar,Theater District,ny
34814,The Tyger,Soho,ny
3622,The Happiest Hour,West Village,ny
53695,Studio 151,New York,ny
52416,LittleMad,NoMad,ny
59979,OCabanon,Chelsea,ny
61157,The Boil Brooklyn,Brooklyn,ny
6725,LaLou,Prospect Heights,ny
10205,Chez Nick,Upper East Side,ny
1696,Vinatería,Harlem,ny
2001,Gran Eléctrica,DUMBO,ny
53054,Serafina West 105,Upper West Side,ny
7140,Balvanera,Lower East Side,ny
36103,Reichenbach Hall,Midtown West,ny
66424,Empellón Taqueria Waterline Square,Upper West Side,ny
54449,Cha Kee,New York,ny
53767,Pulqueria,Chinatown,ny
818,Chinese Tuxedo,Chinatown,ny
42359,Isabelle's Osteria,Gramercy,ny
51395,The Gallery Bar // NeueHouse,Flatiron,ny
65660,Shaking Crab - Park Slope,Park Slope,ny
50562,Sushi Nonaka,Upper West Side,ny
36017,Ops,Bushwick,ny
3683,Pietro Nolita,Nolita,ny
1690,Tacombi - Empire State Building,Midtown East,ny
67469,Little Rascal - Greenpoint,Greenpoint,ny
1402,North Square Restaurant & Lounge,Greenwich Village,ny
1689,Fairfax,West Village,ny
52603,Jose Luis,East Village,ny
52635,Cull & Pistol,Chelsea,ny
6458,Baci Ristorante,Bay Ridge,ny
50955,Le Pavillon,Midtown,ny
8475,Bar Bête,Carroll Gardens,ny
65571,Lagano Bar & Restaurant,Astoria,ny
9896,Sen Sakana,Midtown,ny
54594,Felice 56,Midtown,ny
64003,La Pecora Bianca - UWS,New York,ny
44449,Bua Thai Ramen & Robata Grill,Upper East Side,ny
4994,12 Chairs Cafe Soho,Soho,ny
55270,Ama Raw Bar - West Village,West Village,ny
44151,Pig and Khao,Lower East Side,ny
64796,atti,Downtown Brooklyn,ny
1463,Queens Bully,Forest Hills,ny
64596,NARO,Rockefeller Center,ny
60791,West End,Hell’s Kitchen,ny
10843,VERSA NYC,Midtown,ny
60368,Dagon,Upper West Side,ny
4311,Nino's AQ,Astoria,ny
34941,Zia Maria - Little Italy,Little Italy/SoHo/NoHo/Downtown,ny
47868,Soda Club,East Village,ny
58751,Pebble Bar,Midtown,ny
10494,Saigon Social,Lower East Side,ny
59993,"The Garden at The Standard, East Village",New York,ny
68794,Betty,New York,ny
5456,Vinegar Hill House,Vinegar Hill,ny
28460,Yakitori Nonono,Nomad,ny
51225,Feile,Midtown,ny
4626,Colonia Verde,Fort Greene,ny
35694,The Lobster Club,Midtown East,ny
68214,El Fish Marisquería,Upper West Side,ny
39797,NR,Upper East Side,ny
4288,Estela,NoLita,ny
51429,The Woo,Soho,ny
1325,Emily WV,West Village,ny
2524,Roey's,West Village,ny
48995,Willow,Chelsea,ny
47376,Bacàn,Williamsburg,ny
60207,Nora Thai,Williamsburg,ny
55508,Medusa Greek Tavern,Brooklyn,ny
27219,Boqueria Soho,Soho,ny
10411,Frank,East Village,ny
10123,Gage & Tollner,Downtown Brooklyn,ny
29265,JIMMY,SOHO,ny
64816,11 Tigers,East Village,ny
60104,Peppercorn Station,Bryant Park,ny
37836,Tørst,Greenpoint,ny
43197,Sally's,Bed Stuy,ny
45055,Beyond Sushi UES,Upper East Side,ny
64707,Urban Vegan Roots,Astoria,ny
8541,Nowon,East Village,ny
65832,KAFANA,East Village,ny
36445,Koi New York,Bryant Park,ny
4570,Dear Irving on Hudson,Times Square/Hell's Kitchen,ny
35691,STK Midtown,Midtown,ny
69214,The Purple Tongue,New York,ny
70078,Levant on Smith,Brooklyn,ny
38882,Black Iris,Fort Greene,ny
50930,MAMO Restaurant,Soho,ny
43111,DOMODOMO New York,West Village,ny
66743,Lena - West Village,West Village,ny
42913,Two Hands Williamsburg,Williamsburg,ny
2038,Diner,Williamsburg,ny
54724,Ci Siamo,Midtown West,ny
28927,La Vara,Cobble Hill,ny
2490,Tsurutontan Midtown,Midtown,ny
5,Charlie Bird,SoHo,ny
2886,Las' Lap,Lower East Side,ny
4922,The Butcher's Daughter - West Village,West Village,ny
51484,Sea Thai Restaurant,Williamsburg,ny
58513,El Pingüino,Brooklyn,ny
8036,Bar Verde,East Village,ny
10413,Lil' Frankie's,East Village,ny
2052,SakaMai,Lower East Side,ny
58969,BòCàPhê Chelsea,Chelsea,ny
8476,Las Santas,Downtown Brooklyn,ny
5015,Sushi Lab Rooftop,Midtown,ny
6972,Endswell,Fort Greene,ny
52799,Gelso and Grand,New York,ny
561,Avant Garden,East Village,ny
5273,Dear Irving Gramercy,Gramercy,ny
50903,Bondi Sushi Bar - NoMad,NoMad,ny
38097,Printers Alley,Times Square,ny
67887,Fig & Olive - Fifth Avenue,Midtown East,ny
7993,Kurant Wine Bar,Midtown East,ny
37987,Leland Eating and Drinking House,Prospect Heights,ny
3597,Rafele Ristorante,West Village,ny
65222,Domakase,Alphabet City,ny
60046,Sea Salt,Midtown,ny
54813,Trad Room,Brooklyn,ny
60362,5 Napkin Burger - UWS,Upper West Side,ny
64872,Seppe Pizza Bar,Staten Island,ny
483,Nom Wah Tea Parlor,Chinatown,ny
51904,Bandits,West Village,ny
49671,SONA,Flatiron,ny
47399,Fandi Mata,Williamsburg,ny
58678,Bass and Bourbon,Red Hook,ny
53093,Fragole Ristorante,Carroll Gardens,ny
32003,FESTIVÁL,Midtown East,ny
51910,Up Thai,Upper East side,ny
5915,Paris Café,"New York, NY",ny
49982,Lure Fishbar,SoHo,ny
50417,Osteria Carlina,West Village,ny
10258,THE IZAKAYA NYC on 4th,East Village,ny
59218,Numero 28 East Village,New York,ny
